group,pretrained,metric,mean,std
nopre,False,total_return,0.0029275118026531,0.1784692962927006
nopre,False,annualized_return,-0.001578950572585,0.0437736545937743
nopre,False,sharpe,-0.0113168583279442,0.255037404785092
nopre,False,max_drawdown,0.3170787122065525,0.0588279287090898
pre,True,total_return,0.556476177623128,0.6130809066665716
pre,True,annualized_return,0.104958782773032,0.106317701836132
pre,True,sharpe,0.4654152369224302,0.4718430889750235
pre,True,max_drawdown,0.344120564557236,0.1218879221804184
