date,PPO,BuyAndHold,MACrossover
2020-03-13,0.6554499604797783,0.8290086618466019,1.0
2020-03-16,0.583728088867028,0.7382953253665787,1.1094238705274333
2020-03-17,0.5522113833189956,0.7781574406576725,1.0495237455852933
2020-03-18,0.5242512356959192,0.7387569545901566,1.102664335850049
2020-03-19,0.5242512356959192,0.7403268925673856,1.1003210555516627
2020-03-20,0.5016589887965776,0.7084230136553935,1.1477386356410424
2020-03-23,0.5016589887965776,0.6903098542431145,1.1770843407780447
2020-03-24,0.4562070694682525,0.7528541492867916,1.0704367102272188
2020-03-25,0.4562070694682525,0.7641246379483847,1.0544119000870371
2020-03-26,0.48284489106259626,0.8087416926670601,0.9928450416115437
2020-03-27,0.48284489106259626,0.784652701305194,1.022417692370008
2020-03-30,0.4671640947872767,0.8101349615170989,0.9892138129480799
2020-03-31,0.47412736412803874,0.7980595730136647,1.0039584439931868
2020-04-01,0.4527893811449998,0.7621431022996517,1.049141341700436
2020-04-02,0.46323760012301807,0.7797297294534871,1.0249321642474256
2020-04-03,0.456541982550999,0.7684595474204051,1.03974649237459
2020-04-06,0.456541982550999,0.8200739669736555,0.9699107907210802
2020-04-07,0.4570074032897894,0.8209099896093811,0.9689220172587671
2020-04-08,0.4570074032897894,0.8484667961184092,0.9363966528584117
2020-04-09,0.4500530469864451,0.8613780539433132,0.9221473520410526
2020-04-13,0.4459439153562661,0.8535133903648727,0.9305668592021092
2020-04-14,0.45909621789421234,0.8786862113042476,0.9031214867179153
2020-04-15,0.4493411389235453,0.8600154990491441,0.922311410484766
2020-04-16,0.4515088511798822,0.8641643872243835,0.9178619942718264
2020-04-17,0.4393111441395254,0.887510162179907,0.8930655552200814
2020-04-20,0.43157153294484224,0.871874356718935,0.9087992334137125
2020-04-21,0.41846765044480894,0.8454014819969193,0.9363932646731737
2020-04-22,0.4277551535226473,0.8641643872243835,0.915610880853361
2020-04-23,0.42778571167585616,0.864102652684133,0.9156762906499383
2020-04-24,0.42778571167585616,0.8761473272316974,0.9029127342859572
2020-04-27,0.42778571167585616,0.888779910844693,0.8898942381305845
2020-04-28,0.4297529320249419,0.884692757209704,0.8939865161239906
2020-04-29,0.44100323311351347,0.9078527152874538,0.8705832610766595
2020-04-30,0.4368972925088933,0.8994001937483341,0.8786887870523324
2020-05-01,0.44846341608635204,0.8755900810173841,0.8554269741012537
2020-05-04,0.44846341608635204,0.8780047805429072,0.8577860678749998
2020-05-05,0.4443198163181063,0.8861171488536272,0.8657116243965753
2020-05-06,0.4473318948513017,0.880110091900652,0.859842898078243
2020-05-07,0.452729845992713,0.8907303748042933,0.8702186168824179
2020-05-08,0.46022080389532716,0.9054685764035448,0.8846174268633314
2020-05-11,0.46022080389532716,0.9056545977003259,0.8847991644577534
2020-05-12,0.4693938829998292,0.8876031728282973,0.8671634281797074
2020-05-13,0.46109234306640695,0.8719053261985638,0.8518270718943831
2020-05-14,0.4666103793897667,0.8823396900149275,0.8620211529599571
2020-05-15,0.4644653892493368,0.8863957719607838,0.8659838313649237
2020-05-18,0.4786127084431335,0.9133948212079802,0.892361145934664
2020-05-19,0.48352844582436805,0.9040135219085037,0.883195879393996
2020-05-20,0.47531420721020184,0.9193710108908303,0.8981997157950209
2020-05-21,0.47859586922097264,0.9130234940809443,0.891998369736568
2020-05-22,0.47950480277579527,0.9147574783116531,0.8936924237417151
2020-05-26,0.47950480277579527,0.9260275070304794,0.9047029260006922
2020-05-27,0.4866395077492767,0.9398061658087529,0.9181642895330164
2020-05-28,0.4857417420345924,0.9380723859970514,0.9164704352395115
2020-05-29,0.4835773767158389,0.9422522436519197,0.9205540390438435
2020-06-01,0.4835773767158389,0.9460601609227298,0.9242742675151528
2020-06-02,0.4835773767158389,0.9538940083357971,0.9319277169242012
2020-06-03,0.4835773767158389,0.9665888375365617,0.9443302093294649
2020-06-04,0.4835773767158389,0.964049851254508,0.9418496908772479
2020-06-05,0.4959711767227419,0.9887578744756895,0.9659887372167862
2020-06-08,0.4959711767227419,1.0007093339558562,0.97766497823511
2020-06-09,0.4996693935687622,0.993247529136351,0.9703750040149055
2020-06-10,0.4996693935687622,0.9877052187968172,0.9649603221151646
2020-06-11,0.4996693935687622,0.9307649175281725,0.9093312433091845
2020-06-12,0.493685503770196,0.941911477166498,0.9202211197362595
2020-06-15,0.49829434327733463,0.9507047651910396,0.9288119157380762
2020-06-16,0.507885413719973,0.9690037414810923,0.9466895028148529
2020-06-17,0.5057757253641213,0.9649786290148648,0.9427570807236828
2020-06-18,0.5059706174755098,0.9653504671894194,0.9431203562008844
2020-06-19,0.5030790571114904,0.9598336070163133,0.9377305384006
2020-06-22,0.4998518194605111,0.9659909119397655,0.9437460527759656
2020-06-23,0.49755080867632634,0.9704377408183658,0.9480904799850394
2020-06-24,0.5102425912850135,0.9456833144824927,0.9239060991027166
2020-06-25,0.5157125717135498,0.9558213729475553,0.9338106981428901
2020-06-26,0.5279613925802088,0.9331194156560009,0.9116315220042962
2020-06-29,0.5357212495556667,0.9468341934944455,0.9250304756484259
2020-06-30,0.528859093927101,0.9589623732065542,0.9368793673814506
2020-07-01,0.528859093927101,0.9656795817914166,0.9434418919448617
2020-07-02,0.528859093927101,0.9709978488987833,0.9486376898847274
2020-07-06,0.5370232786775537,0.9859874858772005,0.963282145185574
2020-07-07,0.531484608364871,0.9758183557230052,0.9533471899757828
2020-07-08,0.531484608364871,0.9832820003135774,0.9606389616007672
2020-07-09,0.528458708494727,0.9776838835850092,0.9551697584226998
