date,PPO,BuyAndHold,MACrossover
2020-03-13,0.0,0.0,0.0
2020-03-16,-0.10942387052743296,-0.10942387052743319,0.1094238705274333
2020-03-17,-0.05399210034453539,0.05399210034453539,-0.05399210034453539
2020-03-18,-0.05063305188499634,-0.05063305188499634,0.05063305188499623
2020-03-19,0.0,0.0021251075437929146,-0.0021251075437928035
2020-03-20,-0.043094313109918625,-0.043094313109918736,0.04309431310991885
2020-03-23,0.0,-0.02556828203366357,0.02556828203366357
2020-03-24,-0.09060321920545866,0.09060321920545866,-0.09060321920545866
2020-03-25,0.0,0.014970348071097206,-0.014970348071097206
2020-03-26,0.05838976065274992,0.05838976065274992,-0.05838976065274992
2020-03-27,0.0,-0.02978576667962496,0.02978576667962507
2020-03-30,-0.032475845899106126,0.032475845899106126,-0.032475845899106126
2020-03-31,0.014905403515509397,-0.014905403515509508,0.014905403515509619
2020-04-01,-0.0450047489291856,-0.0450047489291856,0.0450047489291856
2020-04-02,0.02307522970524878,0.02307522970524878,-0.02307522970524878
2020-04-03,-0.014453959631603674,-0.014453959631603674,0.014453959631603563
2020-04-06,0.0,0.06716608535415003,-0.06716608535415003
2020-04-07,0.0010194478417731023,0.0010194478417731023,-0.0010194478417731023
2020-04-08,0.0,0.03356860905315662,-0.03356860905315662
2020-04-09,-0.015217163339768747,0.015217163339768636,-0.015217163339768636
2020-04-13,-0.009130327319620934,-0.009130327319620934,0.009130327319621045
2020-04-14,0.029493176350301464,0.029493176350301464,-0.029493176350301464
2020-04-15,-0.02124844115556368,-0.02124844115556368,0.02124844115556357
2020-04-16,0.004824201633373493,0.004824201633373493,-0.004824201633373493
2020-04-17,-0.027015432828131236,0.027015432828131125,-0.027015432828131125
2020-04-20,-0.01761760724245376,-0.017617607242453648,0.017617607242453648
2020-04-21,-0.0303631762053872,-0.0303631762053872,0.030363176205387088
2020-04-22,0.022194076574297394,0.022194076574297394,-0.022194076574297394
2020-04-23,7.143842209078599e-05,-7.143842209089701e-05,7.143842209078599e-05
2020-04-24,0.0,0.013938939442148968,-0.013938939442148968
2020-04-27,0.0,0.014418332648357124,-0.014418332648357124
2020-04-28,0.004598611630526772,-0.004598611630526883,0.004598611630526772
2020-04-29,0.026178532478095207,0.026178532478095207,-0.026178532478095207
2020-04-30,-0.009310454655019007,-0.009310454655019007,0.009310454655019118
2020-05-01,0.026473323995761078,-0.02647332399576119,-0.02647332399576119
2020-05-04,0.0,0.0027577968022631794,0.0027577968022631794
2020-05-05,-0.009239549135147018,0.009239549135146907,0.009239549135146907
2020-05-06,0.006779077643115805,-0.006779077643115916,-0.006779077643115916
2020-05-07,0.012066993665197145,0.012066993665197145,0.012066993665197145
2020-05-08,0.016546198508712306,0.016546198508712306,0.016546198508712306
2020-05-11,0.0,0.00020544202375294418,0.00020544202375294418
2020-05-12,0.019931908829111444,-0.019931908829111555,-0.019931908829111555
2020-05-13,-0.017685658535574245,-0.017685658535574134,-0.017685658535574245
2020-05-14,0.011967312852482204,0.011967312852482204,0.011967312852482204
2020-05-15,-0.004596961909066666,0.004596961909066666,0.004596961909066666
2020-05-18,0.030459361496583126,0.030459361496583126,0.030459361496583126
2020-05-19,0.010270804127255229,-0.010270804127255229,-0.010270804127255229
2020-05-20,-0.016988118662102147,0.016988118662102147,0.016988118662102147
2020-05-21,0.006904195079781239,-0.006904195079781239,-0.006904195079781239
2020-05-22,0.0018991671539123622,0.0018991671539123622,0.0018991671539123622
2020-05-26,0.0,0.012320236768796011,0.012320236768796011
2020-05-27,0.014879319106251954,0.014879319106251954,0.014879319106251954
2020-05-28,-0.0018448270236761655,-0.0018448270236761655,-0.0018448270236760544
2020-05-29,-0.0044557943686037715,0.0044557943686036605,0.0044557943686036605
