group,pretrained,metric,mean,std
nopre,False,total_return,0.0029275118026531157,0.17846929629270064
nopre,False,annualized_return,-0.0015789505725850139,0.04377365459377438
nopre,False,sharpe,-0.011316858327944273,0.255037404785092
nopre,False,max_drawdown,0.3170787122065525,0.05882792870908988
pre,True,total_return,0.556476177623128,0.6130809066665716
pre,True,annualized_return,0.10495878277303206,0.10631770183613203
pre,True,sharpe,0.46541523692243025,0.4718430889750235
pre,True,max_drawdown,0.34412056455723605,0.12188792218041847
